Actual Tags,Predicted Tags,Count of erroneous predicted Tag
JJ,NN,20
JJ,NNP,13
JJ,RB,1
JJ,VB,2
NN,IN,3
NN,JJ,91
NN,MD,1
NN,NNP,6
NN,VB,20
NN,VBG,8
NN,VBP,1
PDT,DT,4
PDT,NN,6
VBN,JJ,7
VBN,NN,4
VBN,VB,6
VBN,VBD,634
RBR,JJ,1
RBR,JJR,70
VBP,NN,145
VBP,VB,206
VBP,VBN,5
IN,DT,6
WDT,IN,95
NNPS,NNP,46
VB,IN,4
VB,JJ,26
VB,NN,202
VB,VBN,3
VB,VBP,7
VBZ,NNS,461
VBZ,POS,6
PRP,CD,1
RB,DT,9
RB,EX,2
RB,IN,108
RB,JJ,245
RB,NN,6
RB,NNP,1
DT,IN,22
NNP,JJ,209
NNP,NN,165
NNP,NNPS,3
NNS,NNP,16
NNS,NNPS,2
NNS,VBZ,3
PRP$,PRP,10
POS,'',33
POS,NNS,8
VBD,VB,1
VBD,VBN,36
VBG,NN,199
RP,IN,8
RP,RB,4